,dogs_name,images
96,redbone,"['https://images.dog.ceo/breeds/redbone/n02090379_5200.jpg'
 'https://images.dog.ceo/breeds/redbone/n02090379_4609.jpg'
 'https://images.dog.ceo/breeds/redbone/n02090379_433.jpg'
 'https://images.dog.ceo/breeds/redbone/n02090379_5435.jpg'
 'https://images.dog.ceo/breeds/redbone/n02090379_3943.jpg']"
97,retriever-chesapeake,"['https://images.dog.ceo/breeds/retriever-chesapeake/n02099849_3203.jpg'
 'https://images.dog.ceo/breeds/retriever-chesapeake/n02099849_3753.jpg']"
98,retriever-curly,"['https://images.dog.ceo/breeds/retriever-curly/n02099429_1472.jpg'
 'https://images.dog.ceo/breeds/retriever-curly/n02099429_227.jpg'
 'https://images.dog.ceo/breeds/retriever-curly/n02099429_537.jpg'
 'https://images.dog.ceo/breeds/retriever-curly/n02099429_853.jpg'
 'https://images.dog.ceo/breeds/retriever-curly/n02099429_3159.jpg']"
99,retriever-flatcoated,"['https://images.dog.ceo/breeds/retriever-flatcoated/n02099267_1274.jpg'
 'https://images.dog.ceo/breeds/retriever-flatcoated/n02099267_494.jpg']"
100,retriever-golden,"['https://images.dog.ceo/breeds/retriever-golden/n02099601_6099.jpg'
 'https://images.dog.ceo/breeds/retriever-golden/n02099601_4651.jpg'
 'https://images.dog.ceo/breeds/retriever-golden/n02099601_2688.jpg']"
101,ridgeback-rhodesian,"['https://images.dog.ceo/breeds/ridgeback-rhodesian/n02087394_7644.jpg'
 'https://images.dog.ceo/breeds/ridgeback-rhodesian/n02087394_10238.jpg'
 'https://images.dog.ceo/breeds/ridgeback-rhodesian/n02087394_7459.jpg'
 'https://images.dog.ceo/breeds/ridgeback-rhodesian/n02087394_7777.jpg'
 'https://images.dog.ceo/breeds/ridgeback-rhodesian/n02087394_613.jpg'
 'https://images.dog.ceo/breeds/ridgeback-rhodesian/n02087394_7143.jpg']"
102,rottweiler,"['https://images.dog.ceo/breeds/rottweiler/n02106550_11728.jpg'
 'https://images.dog.ceo/breeds/rottweiler/n02106550_12073.jpg']"
103,saluki,"['https://images.dog.ceo/breeds/saluki/n02091831_5123.jpg'
 'https://images.dog.ceo/breeds/saluki/n02091831_5482.jpg'
 'https://images.dog.ceo/breeds/saluki/n02091831_2838.jpg'
 'https://images.dog.ceo/breeds/saluki/n02091831_3052.jpg'
 'https://images.dog.ceo/breeds/saluki/n02091831_256.jpg'
 'https://images.dog.ceo/breeds/saluki/n02091831_3616.jpg']"
104,samoyed,"['https://images.dog.ceo/breeds/samoyed/n02111889_6343.jpg'
 'https://images.dog.ceo/breeds/samoyed/n02111889_14064.jpg'
 'https://images.dog.ceo/breeds/samoyed/n02111889_4470.jpg']"
105,schipperke,"['https://images.dog.ceo/breeds/schipperke/n02104365_7768.jpg'
 'https://images.dog.ceo/breeds/schipperke/n02104365_10071.jpg'
 'https://images.dog.ceo/breeds/schipperke/n02104365_3963.jpg'
 'https://images.dog.ceo/breeds/schipperke/n02104365_7887.jpg'
 'https://images.dog.ceo/breeds/schipperke/n02104365_518.jpg'
 'https://images.dog.ceo/breeds/schipperke/n02104365_6395.jpg'
 'https://images.dog.ceo/breeds/schipperke/n02104365_7377.jpg'
 'https://images.dog.ceo/breeds/schipperke/n02104365_10606.jpg']"
106,schnauzer-giant,"['https://images.dog.ceo/breeds/schnauzer-giant/n02097130_5907.jpg'
 'https://images.dog.ceo/breeds/schnauzer-giant/n02097130_706.jpg'
 'https://images.dog.ceo/breeds/schnauzer-giant/n02097130_5453.jpg'
 'https://images.dog.ceo/breeds/schnauzer-giant/n02097130_1633.jpg'
 'https://images.dog.ceo/breeds/schnauzer-giant/n02097130_1119.jpg']"
107,schnauzer-miniature,"['https://images.dog.ceo/breeds/schnauzer-miniature/n02097047_946.jpg'
 'https://images.dog.ceo/breeds/schnauzer-miniature/n02097047_162.jpg']"
108,setter-english,"['https://images.dog.ceo/breeds/setter-english/n02100735_8181.jpg'
 'https://images.dog.ceo/breeds/setter-english/n02100735_10147.jpg'
 'https://images.dog.ceo/breeds/setter-english/n02100735_3348.jpg'
 'https://images.dog.ceo/breeds/setter-english/n02100735_3566.jpg'
 'https://images.dog.ceo/breeds/setter-english/n02100735_9914.jpg']"
109,setter-gordon,"['https://images.dog.ceo/breeds/setter-gordon/n02101006_585.jpg'
 'https://images.dog.ceo/breeds/setter-gordon/n02101006_3125.jpg'
 'https://images.dog.ceo/breeds/setter-gordon/n02101006_8020.jpg']"
110,setter-irish,"['https://images.dog.ceo/breeds/setter-irish/n02100877_6417.jpg'
 'https://images.dog.ceo/breeds/setter-irish/n02100877_172.jpg'
 'https://images.dog.ceo/breeds/setter-irish/n02100877_7033.jpg'
 'https://images.dog.ceo/breeds/setter-irish/n02100877_828.jpg']"
111,sharpei,['https://images.dog.ceo/breeds/sharpei/noel.jpg']
112,sheepdog-indian,['https://images.dog.ceo/breeds/sheepdog-indian/Himalayan_Sheepdog.jpg']
113,sheepdog-shetland,"['https://images.dog.ceo/breeds/sheepdog-shetland/n02105855_13256.jpg'
 'https://images.dog.ceo/breeds/sheepdog-shetland/n02105855_7495.jpg'
 'https://images.dog.ceo/breeds/sheepdog-shetland/n02105855_17893.jpg']"
114,shihtzu,"['https://images.dog.ceo/breeds/shihtzu/n02086240_2211.jpg'
 'https://images.dog.ceo/breeds/shihtzu/n02086240_7207.jpg'
 'https://images.dog.ceo/breeds/shihtzu/n02086240_1725.jpg'
 'https://images.dog.ceo/breeds/shihtzu/n02086240_271.jpg'
 'https://images.dog.ceo/breeds/shihtzu/n02086240_1927.jpg'
 'https://images.dog.ceo/breeds/shihtzu/n02086240_415.jpg'
 'https://images.dog.ceo/breeds/shihtzu/n02086240_7266.jpg'
 'https://images.dog.ceo/breeds/shihtzu/n02086240_6849.jpg'
 'https://images.dog.ceo/breeds/shihtzu/n02086240_818.jpg']"
115,spaniel-blenheim,"['https://images.dog.ceo/breeds/spaniel-blenheim/n02086646_4024.jpg'
 'https://images.dog.ceo/breeds/spaniel-blenheim/n02086646_166.jpg']"
116,spaniel-brittany,"['https://images.dog.ceo/breeds/spaniel-brittany/n02101388_5149.jpg'
 'https://images.dog.ceo/breeds/spaniel-brittany/n02101388_2064.jpg'
 'https://images.dog.ceo/breeds/spaniel-brittany/n02101388_1050.jpg']"
117,spaniel-cocker,"['https://images.dog.ceo/breeds/spaniel-cocker/n02102318_7163.jpg'
 'https://images.dog.ceo/breeds/spaniel-cocker/n02102318_12613.jpg']"
